ClassId,Name
0,Give way
1,No entry
2,One-way traffic
3,One-way traffic
4,No vehicles in both directions
5,No entry for cycles
6,No entry for goods vehicles
7,No entry for pedestrians
8,No entry for bullock carts
9,No entry for hand carts
10,No entry for motor vehicles
11,Height limit
12,Weight limit
13,Axle weight limit
14,Length limit
15,No left turn
16,No right turn
17,No overtaking
18,Maximum speed limit (90 km/h)
19,Maximum speed limit (110 km/h)
20,Horn prohibited
21,No parking
22,No stopping
23,Turn left
24,Turn right
25,Steep descent
26,Steep ascent
27,Narrow road
28,Narrow bridge
29,Unprotected quay
30,Road hump
31,Dip
32,Loose gravel
33,Falling rocks
34,Cattle
35,Crossroads
36,Side road junction
37,Side road junction
38,Oblique side road junction
39,Oblique side road junction
40,T-junction
41,Y-junction
42,Staggered side road junction
43,Staggered side road junction
44,Roundabout
45,Guarded level crossing ahead
46,Unguarded level crossing ahead
47,Level crossing countdown marker
48,Level crossing countdown marker
49,Level crossing countdown marker
50,Level crossing countdown marker
51,Parking
52,Bus stop
53,First aid post
54,Telephone
55,Filling station
56,Hotel
57,Restaurant
58,Refreshments
